FIELDNAME,LAT,LON,PERIODDATE,Oil Production Volumes,Gas Production Volumes,Water Production Volumes,Cumulative Oil Production Volumes,Cumulative Gas Production Volumes,Cumulative Water Production Volumes
ALBA,58.05803,1.079633,1994-01-01T00:00:00.000Z,21848.0,1.11868806,0.0,21848.0,1.11868806,0.0
ALBA,58.05803,1.079633,1994-02-01T00:00:00.000Z,102465.0,6.1019275,475.0,124313.0,7.22061556,475.0
ALBA,58.05803,1.079633,1994-03-01T00:00:00.000Z,142134.0,6.6916229,2192.0,266447.0,13.91223846,2667.0
ALBA,58.05803,1.079633,1994-04-01T00:00:00.000Z,166535.0,9.13010467,25516.0,432982.0,23.04234313,28183.0
ALBA,58.05803,1.079633,1994-05-01T00:00:00.000Z,160681.0,9.31176806,23496.0,593663.0,32.35411119,51679.0
ALBA,58.05803,1.079633,1994-06-01T00:00:00.000Z,198771.0,9.99649933,24628.0,792434.0,42.35061052,76307.0
ALBA,58.05803,1.079633,1994-07-01T00:00:00.000Z,248810.0,12.57100081,51591.0,1041244.0,54.92161133,127898.0
ALBA,58.05803,1.079633,1994-08-01T00:00:00.000Z,302562.0,15.97149355,55576.0,1343806.0,70.89310488,183474.0
ALBA,58.05803,1.079633,1994-09-01T00:00:00.000Z,263385.0,13.55154267,41648.0,1607191.0,84.44464755,225122.0
ALBA,58.05803,1.079633,1994-10-01T00:00:00.000Z,245728.0,12.97997129,25658.0,1852919.0,97.42461884,250780.0
ALBA,58.05803,1.079633,1994-11-01T00:00:00.000Z,298077.0,16.43089233,43544.0,2150996.0,113.85551117,294324.0
ALBA,58.05803,1.079633,1994-12-01T00:00:00.000Z,307588.0,15.33354516,29864.0,2458584.0,129.18905633,324188.0
ALBA,58.05803,1.079633,1995-01-01T00:00:00.000Z,290179.0,14.75597403,44888.0,2748763.0,143.94503036,369076.0
ALBA,58.05803,1.079633,1995-02-01T00:00:00.000Z,385382.0,21.1360275,57354.0,3134145.0,165.08105786,426430.0
ALBA,58.05803,1.079633,1995-03-01T00:00:00.000Z,387547.0,17.96963903,85401.0,3521692.0,183.05069689,511831.0
ALBA,58.05803,1.079633,1995-04-01T00:00:00.000Z,334818.0,17.81053167,71139.0,3856510.0,200.86122856,582970.0
ALBA,58.05803,1.079633,1995-05-01T00:00:00.000Z,216846.0,11.29396484,42088.0,4073356.0,212.1551934,625058.0
ALBA,58.05803,1.079633,1995-06-01T00:00:00.000Z,327121.0,20.61218833,45710.0,4400477.0,232.76738173,670768.0
ALBA,58.05803,1.079633,1995-07-01T00:00:00.000Z,319969.0,16.85322935,71764.0,4720446.0,249.62061108,742532.0
ALBA,58.05803,1.079633,1995-08-01T00:00:00.000Z,301065.0,16.14465097,77684.0,5021511.0,265.76526205,820216.0
ALBA,58.05803,1.079633,1995-09-01T00:00:00.000Z,316081.0,17.07362533,44867.0,5337592.0,282.83888738,865083.0
ALBA,58.05803,1.079633,1995-10-01T00:00:00.000Z,343801.0,17.8169871,57653.0,5681393.0,300.65587448,922736.0
ALBA,58.05803,1.079633,1995-11-01T00:00:00.000Z,366631.0,19.62689983,69821.0,6048024.0,320.28277431,992557.0
ALBA,58.05803,1.079633,1995-12-01T00:00:00.000Z,432752.0,21.48632952,97865.0,6480776.0,341.76910383,1090422.0
ALBA,58.05803,1.079633,1996-01-01T00:00:00.000Z,370303.0,19.91993839,88249.0,6851079.0,361.68904222,1178671.0
ALBA,58.05803,1.079633,1996-02-01T00:00:00.000Z,344054.0,18.71329672,107100.0,7195133.0,380.40233894,1285771.0
ALBA,58.05803,1.079633,1996-03-01T00:00:00.000Z,355621.0,18.30684032,121819.0,7550754.0,398.70917926,1407590.0
ALBA,58.05803,1.079633,1996-04-01T00:00:00.000Z,329807.0,18.14013833,114755.0,7880561.0,416.84931759,1522345.0
ALBA,58.05803,1.079633,1996-05-01T00:00:00.000Z,311586.0,16.62652984,61187.0,8192147.0,433.47584743,1583532.0
ALBA,58.05803,1.079633,1996-06-01T00:00:00.000Z,334563.0,17.58098417,86368.0,8526710.0,451.0568316,1669900.0
ALBA,58.05803,1.079633,1996-07-01T00:00:00.000Z,333544.0,17.71559887,111046.0,8860254.0,468.77243047,1780946.0
ALBA,58.05803,1.079633,1996-08-01T00:00:00.000Z,196000.0,9.20354468,106332.0,9056254.0,477.97597515,1887278.0
ALBA,58.05803,1.079633,1996-09-01T00:00:00.000Z,278452.0,15.34554467,156912.0,9334706.0,493.32151982,2044190.0
ALBA,58.05803,1.079633,1996-10-01T00:00:00.000Z,376831.0,19.67501177,201881.0,9711537.0,512.99653159,2246071.0
ALBA,58.05803,1.079633,1996-11-01T00:00:00.000Z,394759.0,21.372638,206509.0,10106296.0,534.36916959,2452580.0
ALBA,58.05803,1.079633,1996-12-01T00:00:00.000Z,436101.0,23.26574984,216101.0,10542397.0,557.63491943,2668681.0
ALBA,58.05803,1.079633,1997-01-01T00:00:00.000Z,487717.0,25.45186226,251529.0,11030114.0,583.08678169,2920210.0
ALBA,58.05803,1.079633,1997-02-01T00:00:00.000Z,400874.0,23.94357,259268.0,11430988.0,607.03035169,3179478.0
ALBA,58.05803,1.079633,1997-03-01T00:00:00.000Z,444099.0,24.06204613,309257.0,11875087.0,631.09239782,3488735.0
ALBA,58.05803,1.079633,1997-04-01T00:00:00.000Z,395844.0,22.20489483,314590.0,12270931.0,653.29729265,3803325.0
ALBA,58.05803,1.079633,1997-05-01T00:00:00.000Z,436092.0,24.21583726,392361.0,12707023.0,677.51312991,4195686.0
ALBA,58.05803,1.079633,1997-06-01T00:00:00.000Z,476127.0,26.8923725,375706.0,13183150.0,704.40550241,4571392.0
ALBA,58.05803,1.079633,1997-07-01T00:00:00.000Z,381079.0,20.79825661,371101.0,13564229.0,725.20375902,4942493.0
ALBA,58.05803,1.079633,1997-08-01T00:00:00.000Z,395605.0,21.53645403,427190.0,13959834.0,746.74021305,5369683.0
ALBA,58.05803,1.079633,1997-09-01T00:00:00.000Z,410642.0,22.57570233,308468.0,14370476.0,769.31591538,5678151.0
ALBA,58.05803,1.079633,1997-10-01T00:00:00.000Z,517621.0,28.18250919,427177.0,14888097.0,797.49842457,6105328.0
ALBA,58.05803,1.079633,1997-11-01T00:00:00.000Z,440841.0,24.19312933,367271.0,15328938.0,821.6915539,6472599.0
ALBA,58.05803,1.079633,1997-12-01T00:00:00.000Z,484944.0,24.71024726,389593.0,15813882.0,846.40180116,6862192.0
ALBA,58.05803,1.079633,1998-01-01T00:00:00.000Z,455061.0,23.80344919,366176.0,16268943.0,870.20525035,7228368.0
ALBA,58.05803,1.079633,1998-02-01T00:00:00.000Z,436461.0,25.06356,353569.0,16705404.0,895.26881035,7581937.0
ALBA,58.05803,1.079633,1998-03-01T00:00:00.000Z,473074.0,23.45827355,446953.0,17178478.0,918.7270839,8028890.0
ALBA,58.05803,1.079633,1998-04-01T00:00:00.000Z,459441.0,24.9641735,460740.0,17637919.0,943.6912574,8489630.0
ALBA,58.05803,1.079633,1998-05-01T00:00:00.000Z,423660.0,23.13929935,442606.0,18061579.0,966.83055675,8932236.0
ALBA,58.05803,1.079633,1998-06-01T00:00:00.000Z,290205.0,16.58627833,309373.0,18351784.0,983.41683508,9241609.0
ALBA,58.05803,1.079633,1998-07-01T00:00:00.000Z,363772.0,19.6533671,230581.0,18715556.0,1003.07020218,9472190.0
ALBA,58.05803,1.079633,1998-08-01T00:00:00.000Z,403340.0,22.47287113,463720.0,19118896.0,1025.54307331,9935910.0
ALBA,58.05803,1.079633,1998-09-01T00:00:00.000Z,365068.0,21.59041383,488510.0,19483964.0,1047.13348714,10424420.0
ALBA,58.05803,1.079633,1998-10-01T00:00:00.000Z,300428.0,17.26333903,527478.0,19784392.0,1064.39682617,10951898.0
ALBA,58.05803,1.079633,1998-11-01T00:00:00.000Z,330593.0,17.94826017,483237.0,20114985.0,1082.34508634,11435135.0
ALBA,58.05803,1.079633,1998-12-01T00:00:00.000Z,372695.0,21.59797048,597077.0,20487680.0,1103.94305682,12032212.0
ALBA,58.05803,1.079633,1999-01-01T00:00:00.000Z,341873.0,18.00723242,612997.0,20829553.0,1121.95028924,12645209.0
ALBA,58.05803,1.079633,1999-02-01T00:00:00.000Z,310836.0,16.99786625,563032.0,21140389.0,1138.94815549,13208241.0
ALBA,58.05803,1.079633,1999-03-01T00:00:00.000Z,360669.0,18.25215903,659845.0,21501058.0,1157.20031452,13868086.0
ALBA,58.05803,1.079633,1999-04-01T00:00:00.000Z,364567.0,20.58982217,644115.0,21865625.0,1177.79013669,14512201.0
ALBA,58.05803,1.079633,1999-05-01T00:00:00.000Z,380007.0,20.15005548,619596.0,22245632.0,1197.94019217,15131797.0
ALBA,58.05803,1.079633,1999-06-01T00:00:00.000Z,356372.0,19.2643325,503823.0,22602004.0,1217.20452467,15635620.0
ALBA,58.05803,1.079633,1999-07-01T00:00:00.000Z,387732.0,20.41548758,520965.0,22989736.0,1237.62001225,16156585.0
ALBA,58.05803,1.079633,1999-08-01T00:00:00.000Z,346256.0,19.20110726,428337.0,23335992.0,1256.82111951,16584922.0
ALBA,58.05803,1.079633,1999-09-01T00:00:00.000Z,311754.0,17.424421,405815.0,23647746.0,1274.24554051,16990737.0
ALBA,58.05803,1.079633,1999-10-01T00:00:00.000Z,379310.0,19.95525339,398439.0,24027056.0,1294.2007939,17389176.0
ALBA,58.05803,1.079633,1999-11-01T00:00:00.000Z,349525.0,19.58452183,346571.0,24376581.0,1313.78531573,17735747.0
ALBA,58.05803,1.079633,1999-12-01T00:00:00.000Z,370413.0,19.99740355,314344.0,24746994.0,1333.78271928,18050091.0
ALBA,58.05803,1.079633,2000-01-01T00:00:00.000Z,384153.0,22.00921935,379272.0,25131147.0,1355.79193863,18429363.0
ALBA,58.05803,1.079633,2000-02-01T00:00:00.000Z,362869.0,21.43011621,362106.0,25494016.0,1377.22205484,18791469.0
ALBA,58.05803,1.079633,2000-03-01T00:00:00.000Z,409054.0,22.27692984,435572.0,25903070.0,1399.49898468,19227041.0
ALBA,58.05803,1.079633,2000-04-01T00:00:00.000Z,415959.0,22.76522617,390443.0,26319029.0,1422.26421085,19617484.0
ALBA,58.05803,1.079633,2000-05-01T00:00:00.000Z,420717.0,23.25891468,483170.0,26739746.0,1445.52312553,20100654.0
ALBA,58.05803,1.079633,2000-06-01T00:00:00.000Z,412544.0,23.65163267,564259.0,27152290.0,1469.1747582,20664913.0
ALBA,58.05803,1.079633,2000-07-01T00:00:00.000Z,394768.0,22.19035113,600535.0,27547058.0,1491.36510933,21265448.0
ALBA,58.05803,1.079633,2000-08-01T00:00:00.000Z,248078.0,14.27979113,336071.0,27795136.0,1505.64490046,21601519.0
ALBA,58.05803,1.079633,2000-09-01T00:00:00.000Z,309423.0,17.16897583,322338.0,28104559.0,1522.81387629,21923857.0
ALBA,58.05803,1.079633,2000-10-01T00:00:00.000Z,372903.0,20.59775855,615347.0,28477462.0,1543.41163484,22539204.0
ALBA,58.05803,1.079633,2000-11-01T00:00:00.000Z,404515.0,23.894129,628334.0,28881977.0,1567.30576384,23167538.0
ALBA,58.05803,1.079633,2000-12-01T00:00:00.000Z,379070.0,21.11609161,624725.0,29261047.0,1588.42185545,23792263.0
ALBA,58.05803,1.079633,2001-01-01T00:00:00.000Z,291814.0,15.76188194,540763.0,29552861.0,1604.18373739,24333026.0
ALBA,58.05803,1.079633,2001-02-01T00:00:00.000Z,347139.0,20.55711375,522229.0,29900000.0,1624.74085114,24855255.0
ALBA,58.05803,1.079633,2001-03-01T00:00:00.000Z,343594.0,18.41278532,479116.0,30243594.0,1643.15363646,25334371.0
ALBA,58.05803,1.079633,2001-04-01T00:00:00.000Z,415017.0,23.53273883,628352.0,30658611.0,1666.68637529,25962723.0
ALBA,58.05803,1.079633,2001-05-01T00:00:00.000Z,394396.0,20.96685726,650019.0,31053007.0,1687.65323255,26612742.0
ALBA,58.05803,1.079633,2001-06-01T00:00:00.000Z,399052.0,22.57452517,772423.0,31452059.0,1710.22775772,27385165.0
ALBA,58.05803,1.079633,2001-07-01T00:00:00.000Z,413969.0,22.74627758,826776.0,31866028.0,1732.9740353,28211941.0
ALBA,58.05803,1.079633,2001-08-01T00:00:00.000Z,400510.0,21.98643548,865181.0,32266538.0,1754.96047078,29077122.0
ALBA,58.05803,1.079633,2001-09-01T00:00:00.000Z,375232.0,21.13014167,913588.0,32641770.0,1776.09061245,29990710.0
ALBA,58.05803,1.079633,2001-10-01T00:00:00.000Z,392305.0,22.00352339,848097.0,33034075.0,1798.09413584,30838807.0
ALBA,58.05803,1.079633,2001-11-01T00:00:00.000Z,413154.0,23.21019517,807852.0,33447229.0,1821.30433101,31646659.0
ALBA,58.05803,1.079633,2001-12-01T00:00:00.000Z,421138.0,23.26233226,917773.0,33868367.0,1844.56666327,32564432.0
ALBA,58.05803,1.079633,2002-01-01T00:00:00.000Z,351053.0,20.75952403,858175.0,34219420.0,1865.3261873,33422607.0
ALBA,58.05803,1.079633,2002-02-01T00:00:00.000Z,312229.0,20.34017875,934711.0,34531649.0,1885.66636605,34357318.0
ALBA,58.05803,1.079633,2002-03-01T00:00:00.000Z,316552.0,18.07558403,951870.0,34848201.0,1903.74195008,35309188.0
ALBA,58.05803,1.079633,2002-04-01T00:00:00.000Z,262642.0,16.13424633,780925.0,35110843.0,1919.87619641,36090113.0
ALBA,58.05803,1.079633,2002-05-01T00:00:00.000Z,283851.0,17.31802032,876665.0,35394694.0,1937.19421673,36966778.0
ALBA,58.05803,1.079633,2002-06-01T00:00:00.000Z,288875.0,17.59157867,900980.0,35683569.0,1954.7857954,37867758.0
ALBA,58.05803,1.079633,2002-07-01T00:00:00.000Z,72525.0,4.61487306,151326.0,35756094.0,1959.40066846,38019084.0
ALBA,58.05803,1.079633,2002-08-01T00:00:00.000Z,313713.0,18.17583306,908292.0,36069807.0,1977.57650152,38927376.0
ALBA,58.05803,1.079633,2002-09-01T00:00:00.000Z,263604.0,15.792868,836096.0,36333411.0,1993.36936952,39763472.0
ALBA,58.05803,1.079633,2002-10-01T00:00:00.000Z,255923.0,14.52585694,587812.0,36589334.0,2007.89522646,40351284.0
ALBA,58.05803,1.079633,2002-11-01T00:00:00.000Z,399675.0,23.60572317,763129.0,36989009.0,2031.50094963,41114413.0
ALBA,58.05803,1.079633,2002-12-01T00:00:00.000Z,429699.0,24.97681855,734101.0,37418708.0,2056.47776818,41848514.0
ALBA,58.05803,1.079633,2003-01-01T00:00:00.000Z,432490.0,23.7487679,850784.0,37851198.0,2080.22653608,42699298.0
ALBA,58.05803,1.079633,2003-02-01T00:00:00.000Z,376042.0,23.17546875,778756.0,38227240.0,2103.40200483,43478054.0
